Date,Pollster,Client,Sample,Con,Labour,Lib Dem,SNP,Alba,Reform,Green,Others
23 Apr 26,Survation,Diffley Partnership,776,12.04%,18.35%,9.82%,37.74%,—,19.74%,1.68%,0.62%
21 Apr 26,Survation,Ballot Box Scotland,803,12.69%,19.76%,10.01%,35.35%,—,19.90%,1.16%,1.13%
1 Apr 26,Norstat,Sunday Times,1006,10%,17%,9%,31%,—,13%,7%,3%
26 Mar 26,Ipsos,STV,734,11%,15%,10%,39%,—,15%,7%,3%
23 Mar 26,Survation,Diffley Partnership,847,11%,19%,8%,35%,—,19%,8%,1%
25 Feb 26,Survation,Diffley Partnership,785,12%,18%,9%,37%,—,17%,6%,1%
19 Feb 26,Ipsos,STV,771,9%,20%,10%,36%,—,16%,7%,2%
13 Feb 26,Norstat,Sunday Times,1001,9%,15%,7%,31%,—,17%,8%,2%
16 Jan 26,Norstat,Sunday Times,1016,10%,17%,8%,32%,—,16%,6%,2%
12 Jan 26,Survation,Truth North Advisors,835,12.68%,15.97%,8.92%,33.67%,1.15%,19.41%,7.95%,0.25%
27 Nov 25,Ipsos,STV,761,11%,16%,9%,35%,—,18%,9%,2%
14 Oct 25,Survation,Diffley Partnership,1631,10%,18%,8%,34%,1%,22%,7%,1%
25 Sept 25,Norstat,Sunday Times,1010,9%,15%,10%,31%,—,19%,6%,1%
12 Jun 25,Ipsos,STV,747,10%,22%,9%,31%,—,16%,10%,1%
30 May 25,Norstat,Sunday Times,1007,12%,17%,7%,30%,—,16%,6%,2%
13 Mar 25,Survation,Quantum Commications,849,12%,23%,8%,34%,1%,17%,4%,1%
14 Jan 25,Norstat,Sunday Times,1026,13%,16%,9%,31%,—,12%,6%,2%
6 Dec 24,Norstat,Sunday Times,1013,12%,19%,9%,33%,—,10%,4%,2%
1 Nov 24,Norstat,Sunday Times,1013,14%,21%,9%,30%,—,10%,6%,2%
22 Aug 24,Norstat,Sunday Times,1011,11%,27%,7%,30%,—,8%,5%,2%
26 Jun 24,Norstat,Sunday Times,1258,13%,29%,8%,31%,—,—,4%,5%
14 Jun 24,Norstat,Sunday Times,1050,14%,29%,7%,30%,—,—,6%,4%
3 May 24,Norstat,Sunday Times,1014,12%,30%,8%,30%,—,—,4%,4%
12 Apr 24,Norstat,Sunday Times,1086,15%,26%,9%,30%,—,—,4%,3%
25 Jan 24,Ipsos,STV,631,14%,30%,7%,39%,—,—,6%,5%
25 Jan 24,Norstat,Sunday Times,1007,14%,28%,6%,32%,—,—,5%,4%
20 Nov 23,Ipsos,STV,658,15%,27%,8%,39%,—,—,4%,6%
5 Oct 23,Norstat,Sunday Times,1022,14%,28%,6%,30%,—,—,6%,3%
15 Jun 23,Norstat,Sunday Times,1007,12%,28%,8%,31%,—,—,6%,2%
15 May 23,Ipsos,STV,734,17%,28%,7%,42%,—,—,4%,2%
30 Mar 23,Norstat,Sunday Times,1089,16%,27%,7%,34%,—,—,5%,3%
24 Feb 23,Norstat,Sunday Times,1026,15%,24%,6%,38%,—,—,4%,3%
28 Nov 22,Ipsos,STV,796,14%,24%,7%,50%,1%,—,3%,—
1 Jul 22,Norstat,Sunday Times,1010,15%,20%,8%,43%,—,—,3%,2%
29 Apr 22,Norstat,Sunday Times,1009,17%,22%,7%,39%,—,—,3%,4%
4 Feb 22,Norstat,Sunday Times,1128,17%,19%,8%,40%,—,—,3%,3%
22 Nov 21,Ipsos,STV,807,19%,17%,5%,52%,—,—,3%,3%
12 Nov 21,Norstat,Sunday Times,1781,18%,17%,7%,42%,—,—,4%,2%
10 Sept 21,Norstat,Sunday Times,2003,19%,16%,7%,41%,—,—,4%,2%
24 Jun 21,Norstat,Sunday Times,1287,22%,17%,6%,42%,—,—,3%,2%
30 Apr 21,Norstat,Sunday Times,1096,20%,19%,6%,45%,—,—,3%,—
1 Apr 21,Norstat,Sunday Times,1009,20%,18%,6%,44%,—,—,2%,—
5 Mar 21,Norstat,Sunday Times,1013,20%,18%,7%,42%,—,—,2%,1%
20 Nov 20,Ipsos,STV,833,22%,14%,6%,55%,—,—,1%,1%
2 Oct 20,Ipsos,STV,850,19%,13%,8%,58%,—,—,1%,1%
