date CON2 LAB LD3 PC/SNP Other Total
1918 38.7 20.8 25.6 0.0 14.9 100%
1922 38.5 29.7 28.8 0.0 3.0 100%
1923 38.0 30.7 29.7 0.0 1.6 100%
1924 46.8 33.3 17.8 0.0 2.1 100%
1929 38.1 37.1 23.5 0.0 1.3 100%
1931 60.7 30.9 7.0 0.1 1.3 100%
1935 53.3 38.0 6.7 0.1 1.9 100%
1945 39.6 48.0 9.0 0.2 3.2 100%
1950 43.4 46.1 9.1 0.1 1.3 100%
1951 48.0 48.8 2.6 0.1 0.6 100%
1955 49.7 46.4 2.7 0.2 1.0 100%
1959 49.4 43.8 5.9 0.4 0.6 100%
1964 43.4 44.1 11.2 0.5 0.8 100%
1966 41.9 48.0 8.5 0.7 0.9 100%
1970 46.4 43.1 7.5 1.7 1.4 100%
1974-02 37.9 37.2 19.3 2.6 3.1 100%
1974-10 35.8 39.3 18.3 3.4 3.1 100%
1979 43.9 36.9 13.8 2.0 3.3 100%
1983 42.4 27.6 25.4 1.5 3.1 100%
1987 42.3 30.8 22.6 1.7 2.6 100%
1992 41.9 34.4 17.8 2.3 3.5 100%
1997 30.7 43.2 16.8 2.5 6.8 100%
2001 31.6 40.7 18.3 2.5 6.9 100%
2005 32.4 35.2 22.0 2.2 8.2 100%
2010 36.1 29.0 23.0 2.2 9.7 100%
2015 36.8 30.4 7.9 5.3 19.5 100%
2017 42.3 40.0 7.4 3.5 6.8 100%
2019 43.6 32.1 11.5 4.4 8.4 100%
