Date,Pollster,Client,Sample,Con,Labour,Lib Dem,SNP,Alba,Reform,Green,Others
30 Apr 26,Norstat,Norstat,1002,14%,17%,10%,28%,—,17%,12%,3%
23 Apr 26,Survation,Survation,834,11.59%,16.93%,9.18%,29.22%,—,19.21%,11.67%,2.20%
21 Apr 26,Survation,Survation,819,13.09%,17.44%,7.82%,29.11%,—,19.45%,11.35%,1.74%
1 Apr 26,Norstat,Norstat,1006,10%,17%,14%,30%,—,15%,12%,4%
26 Mar 26,Ipsos,IPSOS,731,13%,15%,9%,29%,—,16%,16%,3%
23 Mar 26,Survation,Survation,835,13%,17%,8%,32%,—,18%,11%,1%
25 Feb 26,Survation,Survation,786,13%,17%,9%,33%,1%,17%,9%,1%
19 Feb 26,Ipsos,IPSOS,771,11%,19%,10%,26%,1%,14%,16%,1%
13 Feb 26,Norstat,Norstat,1001,11%,17%,7%,30%,3%,19%,11%,2%
16 Jan 26,Norstat,Norstat,1016,12%,17%,9%,29%,4%,16%,11%,1%
12 Jan 26,Survation,Survation,829,13%,18%,11%,28%,3%,18%,9%,—
27 Nov 25,Ipsos,IPSOS,755,12%,18%,7%,28%,1%,17%,17%,1%
14 Oct 25,Survation,Survation,1624,12%,17%,10%,29%,2%,20%,10%,1%
25 Sept 25,Norstat,Norstat,1010,13%,18%,10%,29%,4%,18%,8%,1%
16 Sept 25,Survation,Survation,1636,13%,18%,11%,31%,2%,16%,8%,1%
12 Jun 25,Ipsos,IPSOS,774,10%,22%,8%,26%,2%,16%,15%,1%
30 May 25,Norstat,Norstat,1007,15%,18%,10%,28%,3%,16%,9%,1%
5 May 25,Survation,Survation,803,12%,18%,10%,29%,3%,20%,9%,—
22 Apr 25,Survation,Survation,852,15.79%,20.35%,9.18%,28.22%,2.05%,12.10%,9.58%,0.73%
13 Mar 25,Survation,Survation,844,13%,20%,9%,29%,3%,16%,8%,—
14 Jan 25,Norstat,Norstat,1026,15%,17%,11%,30%,4%,13%,10%,—
13 Jan 25,Survation,Survation,837,14%,21%,10%,31%,2%,13%,9%,—
6 Dec 24,Norstat,Norstat,1013,16%,18%,10%,32%,12%,8%,5%,1%
15 Nov 24,Survation,Survation,2550,15.30%,25.30%,8.57%,26.55%,2.81%,10.64%,10.38%,0.45%
1 Nov 24,Norstat,Norstat,1013,14%,22%,9%,29%,11%,9%,3%,2%
13 Sept 24,Survation,Survation,1740,13.53%,26.03%,9.59%,27.60%,2.67%,9.97%,9.93%,0.67%
29 Aug 24,Survation,Survation,846,12%,28%,10%,27%,2%,9%,10%,—
