CON,LAB,LD,PC/SNP,Other,Total
1918,382,57,163,0,105,707
1922,344,142,115,0,14,615
1923,258,191,158,0,8,615
1924,412,151,40,0,12,615
1929,260,287,59,0,9,615
1931,522,52,36,0,5,615
1935,429,154,21,0,11,615
1945,210,393,12,0,25,640
1950,298,315,9,0,3,625
1951,321,295,6,0,3,625
1955,345,277,6,0,2,630
1959,365,258,6,0,1,630
1964,304,317,9,0,0,630
1966,253,364,12,0,1,630
1970,330,288,6,1,5,630
1974-02,297,301,14,9,14,635
1974-10,277,319,13,14,12,635
1979,339,269,11,4,12,635
1983,397,209,23,4,17,650
1987,376,229,22,6,17,650
1992,336,271,20,7,17,651
1997,165,418,46,10,20,659
2001,166,412,52,9,20,659
2005,198,355,62,9,22,646
2010,306,258,57,9,20,650
2015,330,232,8,59,21,650
2017,317,262,12,39,20,650
2019,365,202,11,52,20,650
